Ubicazione
ALZ NAVIGLIO GRANDE N. 146 ; (Z.D. 6)
VIA CASELLA GIOVANNI BATTISTA N. 17 (Z.D. 8)
VIA CASELLA GIOVANNI BATTISTA N. 37 CON INGRESSO DA V.LE ESPINASSE; (Z.D. 8)
VIA CASORETTO N. 1 (Z.D. 3)
VIA CASORETTO N. 1 ; (Z.D. 3)
VIA CASORETTO N. 37 ; (Z.D. 3)
VIA CASORETTO N. 43 ; (Z.D. 3)
VIA CASORETTO N. 5 ; (Z.D. 3)
VIA CASORETTO N. 60 ; (Z.D. 3)
VIA CASORETTO N. 7 ; (Z.D. 3)
VIA CASORETTO N. 8 ; (Z.D. 3)
VIA CASSINIS GIOVANNI BATTISTA N. 23 ; (Z.D. 4)
VIA CASSINIS GIOVANNI BATTISTA N. 23 INTERNO; (Z.D. 4)
VIA CASTALDI PANFILO N. 16 ; (Z.D. 3)
VIA CASTALDI PANFILO N. 21 ; (Z.D. 3)
VIA CASTALDI PANFILO N. 23 ; (Z.D. 3)
VIA CASTALDI PANFILO N. 29 (Z.D. 3)
VIA CASTALDI PANFILO N. 29 ; (Z.D. 3)
VIA CASTALDI PANFILO N. 32 ; (Z.D. 3)
VIA CASTALDI PANFILO N. 37 (Z.D. 3)
VIA CASTALDI PANFILO N. 37 ; (Z.D. 3)
VIA CASTALDI PANFILO N. 38 ; (Z.D. 3)
VIA CASTALDI PANFILO N. 42 ; (Z.D. 3)
VIA CASTEL MORRONE N. 12 (Z.D. 3)
VIA CASTEL MORRONE N. 18 ; (Z.D. 3)
VIA CASTEL MORRONE N. 9 ; (Z.D. 3)
VIA CASTELLANZA N. 8 ; (Z.D. 8)
VIA CASTELVETRO LODOVICO N. 13 (Z.D. 8)
VIA CATALANI ALFREDO N. 35 ; (Z.D. 3)
VIA CAVALCANTI GUIDO N. 1 ; (Z.D. 2)
VIA CAVALERI LUDOVICO N. 1 ; (Z.D. 6)
VIA CAVALLOTTI FELICE N. 13 ; (Z.D. 1)
VIA CAVEZZALI FRANCESCO N. 11 CON INGR. VIA MARINETTI N. 1; (Z.D. 2)
VIA CELESTINO IV N. 9 ; (Z.D. 1)
VIA CELIO N. 2 (Z.D. 7)
VIA CELIO N. 2 ; (Z.D. 7)
VIA CELLINI BENVENUTO N. 3 ; (Z.D. 4)
VIA CENISIO N. 10 (Z.D. 8)
VIA CENISIO N. 10 RISERVATA AI SOLI SOCI; (Z.D. 8)
VIA CENISIO N. 14 (Z.D. 8)
VIA CENISIO N. 16 ; (Z.D. 8)
VIA CENISIO N. 23 ; (Z.D. 8)
VIA CENISIO N. 36 (Z.D. 8)
VIA CENISIO N. 37 ; (Z.D. 8)
VIA CENISIO N. 40 ; (Z.D. 8)
VIA CENISIO N. 42 ; (Z.D. 8)
VIA CENISIO N. 53 ; (Z.D. 8)
VIA CENISIO N. 61 ; (Z.D. 8)
VIA CENISIO N. 62 ; (Z.D. 8)
VIA CENISIO N. 8 ; (Z.D. 8)
VIA CENISIO N. 83 ; (Z.D. 8)
VIA CENISIO N. 87 ; (Z.D. 8)
VIA CENISIO NUM.0767; (Z.D. 8)
VIA CERADINI GIULIO N. 24 ; (Z.D. 3)
VIA CERNUSCHI ENRICO N. 1 SEMINTERRATO; (Z.D. 1)
VIA CERVA N. 10 INT.CORTILE; (Z.D. 1)
VIA CERVA N. 19 ; (Z.D. 1)
VIA CERVIGNANO N. 1 (Z.D. 4)
VIA CERVIGNANO N. 6 ; (Z.D. 4)
VIA CERVIGNANO N. 8 PIANO 5Ø; (Z.D. 4)
VIA CESARE DA SESTO N. 18 (Z.D. 1)
VIA CESARE DA SESTO N. 20 ; (Z.D. 1)
VIA CESARE DA SESTO N. 22 ; (Z.D. 1)
VIA CESARE DA SESTO N. 23 ; (Z.D. 1)
VIA CESARE DA SESTO N. 8 ; (Z.D. 1)
VIA CESARI ANTONIO N. 43 ; (Z.D. 9)
VIA CESARIANO CESARE N. 11 PIANO PRIMO; (Z.D. 1)
VIA CESARIANO CESARE N. 8 (Z.D. 1)
VIA CESARIANO CESARE N. 9 ; (Z.D. 1)
VIA CHAVEZ GIORGIO N. 1 ; (Z.D. 2)
VIA CHIANCIANO N. 6 ; (Z.D. 9)
VIA CHIANCIANO NUM.0102; (Z.D. 9)
VIA CHIARELLI LUIGI N. 10 INTERNO M.C.C.; (Z.D. 8)
VIA CHIESE N. 60 ; (Z.D. 9)
VIA CHINOTTO EDOARDO N. 32 ; (Z.D. 7)
VIA CHIOGGIA N. 1 ; (Z.D. 2)
VIA CHOPIN FEDERICO N. 50 ; (Z.D. 5)
VIA CIAIA IGNAZIO N. 2 ; (Z.D. 9)
VIA CIAIA IGNAZIO N. 4 ; (Z.D. 9)
VIA CIARDI GUGLIELMO N. 25 ; (Z.D. 7)
VIA CIARDI GUGLIELMO N. 25 CON INGRESSO VIA CIVITALI; (Z.D. 7)
VIA CICERI VISCONTI LAURA N. 14 ; (Z.D. 4)
VIA CICERI VISCONTI LAURA N. 2 ; (Z.D. 4)
VIA CICERONE  MARCO TULLIO NUM.014; (Z.D. 9)
VIA CICOGNA MOZZONI CARLO N. 23 ; (Z.D. 9)
VIA CILEA FRANCESCO N. 158 ; (Z.D. 8)
VIA CILEA FRANCESCO NUM.0102; (Z.D. 8)
VIA CIMABUE GIOVANNI N. 19 ; (Z.D. 8)
VIA CIMAROSA DOMENICO N. 5 ; (Z.D. 7)
VIA CIMAROSA DOMENICO NUM.003A; (Z.D. 6)
VIA CINO DA PISTOIA N. 18 ; (Z.D. 9)
VIA CINO DA PISTOIA N. 9 ; (Z.D. 9)
VIA CINQUE MAGGIO N. 11 ; (Z.D. 8)
VIA CINQUE MAGGIO N. 9 ; (Z.D. 8)
VIA CIRCO N. 1 INTERNO PALESTRA; (Z.D. 1)
VIA CIVITALI MATTEO N. 13 (Z.D. 7)
VIA CIVITALI MATTEO N. 25 (Z.D. 7)
VIA CIVITALI MATTEO N. 25 ; (Z.D. 7)
VIA CIVITALI MATTEO N. 40 ; (Z.D. 7)
VIA CIVITALI MATTEO N. 42 ; (Z.D. 7)
VIA CIVITALI MATTEO N. 7 (Z.D. 7)
VIA CODARA GIUSEPPE N. 1 CON INGR. V.LE GORIZIA; (Z.D. 6)
VIA COL MOSCHIN N. 1 (Z.D. 5)
VIA COL MOSCHIN N. 1 ; (Z.D. 5)
VIA COLA DI RIENZO N. 12 AL PIANO RIALZATO; (Z.D. 6)
VIA COLA DI RIENZO N. 2 ; (Z.D. 6)
VIA COLA DI RIENZO N. 28 ; (Z.D. 6)
VIA COLA DI RIENZO N. 44 (Z.D. 6)
VIA COLA DI RIENZO N. 44 CON INGRESSO VIA TREZZO D'ADDA; (Z.D. 6)
VIA COLA DI RIENZO N. 53 ; (Z.D. 6)
VIA COLA MONTANO N. 40 ; (Z.D. 9)
VIA COLAUTTI ARTURO N. 1 ; (Z.D. 2)
VIA COLLECCHIO N. 2 ; (Z.D. 8)
VIA COLLETTA PIETRO N. 9 (Z.D. 4)
VIA COLONNA MARCO ANTONIO N. 10 ; (Z.D. 8)
VIA COLONNA MARCO ANTONIO N. 14 ; (Z.D. 8)
VIA COLONNA VITTORIA N. 13 ; (Z.D. 7)
VIA COLONNA VITTORIA N. 43 ; (Z.D. 7)
VIA COLONNA VITTORIA N. 51 ; (Z.D. 7)
VIA COLONNA VITTORIA N. 8 ; (Z.D. 7)
VIA COLUMELLA LUCIO GIUNIO N. 40 PIANO T. E SEMINTERRATO; (Z.D. 2)
VIA COMPAGNONI GIUSEPPE N. 24 ; (Z.D. 4)
VIA COMPAGNONI GIUSEPPE N. 33 ; (Z.D. 4)
VIA CONCA DEL NAVIGLIO N. 5 ; (Z.D. 1)
VIA CONCHETTA N. 19 ; (Z.D. 5)
VIA CONCHETTA N. 4 ; (Z.D. 5)
VIA CONCILIO VATICANO II N. 1 ; (Z.D. 8)
VIA CONCILIO VATICANO II N. 3 ; (Z.D. 8)
VIA CONSOLE MARCELLO N. 10 (Z.D. 8)
VIA CONSOLE MARCELLO N. 10 ; (Z.D. 8)
VIA CONSOLE MARCELLO N. 14 ; (Z.D. 8)
VIA CONSOLE MARCELLO NUM.0181; (Z.D. 8)
VIA CONTE ROSSO N. 10 ; (Z.D. 3)
VIA CONTE ROSSO N. 22 ; (Z.D. 3)
VIA CONTE VERDE N. 1 CON INGRESSO VIA C. IMBONATI; (Z.D. 9)
VIA COPERNICO NICOLO' N. 61 (Z.D. 2)
VIA COPERNICO NICOLO' N. 61 ; (Z.D. 2)
VIA COPERNICO NICOLO' NUM.030A; (Z.D. 2)
VIA CORREGGIO N. 57 ; (Z.D. 7)
VIA CORREGGIO N. 63 ; (Z.D. 7)
VIA CORREGGIO N. 69 ; (Z.D. 7)
VIA CORREGGIO N. 8 (Z.D. 7)
VIA CORRENTI CESARE N. 19 ; (Z.D. 1)
VIA CORRENTI CESARE N. 22 ; (Z.D. 1)
VIA CORRENTI CESARE N. 26 ; (Z.D. 1)
VIA CORRIDONI FILIPPO N. 6 ; (Z.D. 1)
VIA COSSA PIETRO N. 5 ; (Z.D. 1)
VIA COSSERIA N. 1 ; (Z.D. 5)
VIA COSTA ANDREA N. 2 PIANO TERRA ED INTERRATO; (Z.D. 3)
VIA COSTA ANDREA N. 3 ; (Z.D. 2)
VIA COSTA ANDREA N. 4 ; (Z.D. 3)
VIA COSTA ANDREA N. 7 ; (Z.D. 2)
VIA COSTANZA N. 3 ; (Z.D. 7)
VIA COTTOLENGO SAN GIUSEPPE N. 12 ; (Z.D. 6)
VIA CREMA N. 21 ; (Z.D. 5)
VIA CREMA N. 23 ; (Z.D. 5)
VIA CREMA N. 25 ; (Z.D. 5)
VIA CREMA N. 29 ; (Z.D. 5)
VIA CREMA N. 4 (Z.D. 5)
VIA CREMA N. 4 ; (Z.D. 5)
VIA CREMA N. 6 ; (Z.D. 5)
VIA CRESCENZAGO N. 13 ; (Z.D. 3)
VIA CRESCENZAGO N. 28 ; (Z.D. 3)
"VIA CRESCENZAGO N. 34 VIA CRESCENZAGO, 34 (Z.D. 3)"
VIA CRESCENZAGO N. 36 ; (Z.D. 3)
VIA CRESPI PIETRO N. 13 (Z.D. 2)
VIA CRESPI PIETRO N. 13 ; (Z.D. 2)
VIA CRESPI PIETRO N. 17 ; (Z.D. 2)
VIA CROCEFISSO N. 5 (Z.D. 1)
VIA CROCEFISSO N. 6 PIANO SEMINTERRATO; (Z.D. 1)
VIA CUCCHIARI DOMENICO N. 15 INTERNO; (Z.D. 8)
VIA CUCCHIARI DOMENICO N. 25 (Z.D. 8)
VIA CUCCHIARI DOMENICO N. 4 ; (Z.D. 8)
VIA CUCCHIARI DOMENICO N. 7 ; (Z.D. 8)
VIA CUNEO N. 3 1^PIANO; (Z.D. 7)
VIA CURTATONE N. 6 ; (Z.D. 1)
VIA CUSAGO N. 5 ; (Z.D. 7)
VIA CUSANI N. 10 ; (Z.D. 1)
VIA CUSANI N. 10 PIANO PRIMO; (Z.D. 1)
VIA CUSANI N. 7 (Z.D. 1)
VIA CUSTODI PIETRO N. 10 (Z.D. 5)
VIA CUZZI GIUSEPPE N. 16 ; (Z.D. 8)
VIA D'ADDA CARLO N. 1 ; (Z.D. 6)
VIA D'ADDA CARLO N. 13 ; (Z.D. 6)
VIA D'ADDA CARLO N. 2 ; (Z.D. 6)
VIA D'ADDA CARLO NUM.001A; (Z.D. 6)
VIA DAL POZZO TOSCANELLI PAOLO N. 1 ; (Z.D. 2)
VIA DAL RE MARCANTONIO N. 13 ; (Z.D. 8)
VIA DAL RE MARCANTONIO N. 2 ; (Z.D. 8)
VIA DAL RE MARCANTONIO N. 6 (Z.D. 8)
VIA DALL'ONGARO FRANCESCO N. 2 ; (Z.D. 4)
VIA DANTE ALIGHIERI N. 4 ; (Z.D. 1)
VIA DARWIN CARLO ROBERTO N. 17 INT. RESIDENZE ANNI AZZURRI (PER ANZIANI) (Z.D. 6)
VIA DAVANZATI BERNARDO N. 2 ; (Z.D. 9)
VIA DE ALESSANDRI GIOVANNI N. 7 ; (Z.D. 7)
VIA DE AMICIS EDMONDO N. 30 (Z.D. 1)
VIA DE AMICIS EDMONDO N. 36 ; (Z.D. 1)
VIA DE AMICIS EDMONDO N. 39 ; (Z.D. 1)
VIA DE AMICIS EDMONDO N. 47 (Z.D. 1)
VIA DE AMICIS EDMONDO N. 61 ; (Z.D. 1)
VIA DE AMICIS EDMONDO N. 7 ; (Z.D. 1)
VIA DE CRISTOFORIS CARLO N. 15 (Z.D. 9)
VIA DE CRISTOFORIS CARLO N. 2 ; (Z.D. 9)
VIA DE CRISTOFORIS CARLO N. 5 ; (Z.D. 9)
VIA DE FILIPPI FILIPPO N. 4 CON INGR. IN VIA BROGGI; (Z.D. 3)
VIA DE MARCHI EMILIO N. 3 ; (Z.D. 2)
VIA DE MARCHI EMILIO N. 46 ; (Z.D. 2)
VIA DE MARTINO EMILIO N. 1 ; (Z.D. 9)
VIA DE PRETIS AGOSTINO N. 5 (Z.D. 6)
VIA DE PRETIS AGOSTINO N. 7 ; (Z.D. 6)
VIA DE ROSSI GIOVANNI BATTISTA N. 1 ; (Z.D. 8)
VIA DE RUGGIERO GUIDO N. 4 ; (Z.D. 5)
VIA DE RUGGIERO GUIDO N. 8 ; (Z.D. 5)
VIA DE SANCTIS FRANCESCO N. 17 ; (Z.D. 5)
VIA DE SANCTIS FRANCESCO N. 45 (Z.D. 5)
VIA DE SANCTIS FRANCESCO N. 50 ; (Z.D. 5)
VIA DEGLI ARCIMBOLDI NUM.004; (Z.D. 1)
VIA DEGLI ETRUSCHI N. 5 ; (Z.D. 4)
VIA DEGLI IMBRIANI N. 25 AL PIANO RIALZATO; (Z.D. 9)
VIA DEGLI IMBRIANI N. 27 ; (Z.D. 9)
VIA DEGLI IMBRIANI N. 31 ; (Z.D. 9)
VIA DEGLI IMBRIANI N. 35 ; (Z.D. 9)
VIA DEGLI IMBRIANI N. 40 ; (Z.D. 9)
VIA DEGLI IMBRIANI N. 5 RISERVATO AI SOCI; (Z.D. 9)
VIA DEGLI IMBRIANI NUM.055A; (Z.D. 9)
VIA DEGLI OMENONI N. 2 ; (Z.D. 1)
VIA DEGLI OMENONI N. 2 SEMINTERRATO; (Z.D. 1)
VIA DEGLI OROMBELLI N. 15 ; (Z.D. 3)
VIA DEGLI OROMBELLI N. 18 ; (Z.D. 3)
VIA DEGLI UMILIATI N. 9 ; (Z.D. 4)
VIA DEGLI ZUCCARO N. 2 ; (Z.D. 6)
VIA DEI BENEDETTINI N. 14 ; (Z.D. 6)
VIA DEI BIANCOSPINI N. 12 (Z.D. 6)
VIA DEI BIANCOSPINI N. 12 ; (Z.D. 6)
VIA DEI BIANCOSPINI N. 3 ; (Z.D. 6)
VIA DEI CARAFA N. 14 ; (Z.D. 9)
VIA DEI CINQUECENTO N. 19 INTERNO CASA DI RIPOSO; (Z.D. 4)
VIA DEI CINQUECENTO N. 27 ; (Z.D. 4)
VIA DEI CINQUECENTO N. 3 ; (Z.D. 4)
VIA DEI CONTARINI N. 7 ; (Z.D. 3)
VIA DEI FIORDALISI N. 4 ; (Z.D. 6)
VIA DEI FONTANILI N. 55 ; (Z.D. 5)
VIA DEI GRIMANI N. 1 ; (Z.D. 6)
VIA DEI GRIMANI N. 11 (Z.D. 6)
VIA DEI MARTINITT N. 3 ; (Z.D. 7)
VIA DEI PANIGAROLA N. 2 ; (Z.D. 4)
VIA DEI TRANSITI N. 1 ; (Z.D. 2)
VIA DEI TRANSITI N. 27 ; (Z.D. 2)
VIA DEI TULIPANI N. 16 ; (Z.D. 6)
VIA DEI TULIPANI N. 2 ; (Z.D. 6)
VIA DEI TULIPANI N. 3 ; (Z.D. 6)
VIA DEI VALTORTA N. 22 (Z.D. 2)
VIA DEL BOLLO N. 3 ; (Z.D. 1)
VIA DEL BOLLO NUM.002C; (Z.D. 1)
VIA DEL DON N. 2 ; (Z.D. 1)
VIA DEL DON N. 3 ; (Z.D. 1)
VIA DEL DON N. 5 (Z.D. 1)
VIA DEL FANTE COSIMO N. 6 ; (Z.D. 1)
VIA DEL FUSARO N. 2 ; (Z.D. 7)
VIA DEL LIRI N. 3 ; (Z.D. 4)
VIA DEL MAINO GIASONE N. 31 ; (Z.D. 7)
VIA DEL MELLA N. 5 ; (Z.D. 7)
VIA DEL PASSERO N. 3 ; (Z.D. 6)
VIA DEL RICORDO N. 1 (Z.D. 2)
VIA DEL RICORDO N. 57 (Z.D. 2)
VIA DEL RICORDO N. 57 ; (Z.D. 2)
VIA DEL TORCHIO N. 3 ; (Z.D. 1)
VIA DEL TORCHIO N. 4 ; (Z.D. 1)
VIA DEL TORCHIO N. 7 ; (Z.D. 1)
VIA DEL TORCHIO N. 8 ; (Z.D. 1)
VIA DEL TORCHIO NUM.0068; (Z.D. 1)
VIA DEL TURCHINO N. 10 ; (Z.D. 4)
VIA DEL TURCHINO N. 13 (Z.D. 4)
VIA DEL TURCHINO N. 15 ; (Z.D. 4)
VIA DEL TURCHINO N. 17 ; (Z.D. 4)
VIA DEL TURCHINO N. 4 ; (Z.D. 4)
VIA DEL VECCHIO POLITECNICO N. 4 2^P.INTERRATO; (Z.D. 1)
VIA DEL VECCHIO POLITECNICO N. 4 INT.PALESTRA DOWN TOWN; (Z.D. 1)
VIA DELL' ALLODOLA N. 16 ; (Z.D. 6)
VIA DELL' ASSUNTA N. 3 ; (Z.D. 5)
VIA DELL' UNIONE N. 1 RISERVATA AI SOLI SOCI; (Z.D. 1)
VIA DELL' UNIONE N. 4 ; (Z.D. 1)
VIA DELLA CAPINERA N. 5 ; (Z.D. 6)
VIA DELLA CHIESA ROSSA N. 33 (Z.D. 5)
VIA DELLA COMMENDA N. 28 ; (Z.D. 1)
VIA DELLA COMMENDA N. 33 (Z.D. 1)
VIA DELLA COMMENDA N. 33 ; (Z.D. 1)
VIA DELLA COMMENDA N. 41 INTERNO; (Z.D. 1)
VIA DELLA FERRERA N. 18 NUM.018; (Z.D. 6)
VIA DELLA MOSCOVA N. 10 ; (Z.D. 1)
VIA DELLA MOSCOVA N. 19 ; (Z.D. 1)
VIA DELLA MOSCOVA N. 24 ; (Z.D. 1)
VIA DELLA MOSCOVA N. 29 ; (Z.D. 1)
VIA DELLA MOSCOVA N. 48 (Z.D. 1)
VIA DELLA MOSCOVA N. 66 ; (Z.D. 1)
VIA DELLA MOSCOVA N. 9 ; (Z.D. 1)
VIA DELLA MOSCOVA NUM.044; (Z.D. 1)
VIA DELLA PALLA N. 5 ; (Z.D. 1)
VIA DELLA SILA N. 4 ; (Z.D. 3)
VIA DELLA SPIGA N. 2 ; (Z.D. 1)
VIA DELLA SPIGA N. 23 ; (Z.D. 1)
VIA DELLA TORRE N. 1 ; (Z.D. 2)
VIA DELLA TORRE N. 34 (Z.D. 2)
VIA DELLA TORRE N. 9 ; (Z.D. 2)
VIA DELLE ANDE N. 5 ; (Z.D. 8)
VIA DELLE ANDE NUM.015A; (Z.D. 8)
VIA DELLE ASOLE N. 2 4^ PIANO; (Z.D. 1)
VIA DELLE BETULLE N. 34 ; (Z.D. 7)
VIA DELLE BETULLE N. 8 ; (Z.D. 7)
VIA DELLE BETULLE NUM.006A; (Z.D. 7)
VIA DELLE BETULLE NUM.008B; (Z.D. 7)
VIA DELLE ERBE N. 1 ; (Z.D. 1)
VIA DELLE FORZE ARMATE N. 105 (Z.D. 7)
VIA DELLE FORZE ARMATE N. 105 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 165 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 196 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 197 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 232 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 234 (Z.D. 7)
VIA DELLE FORZE ARMATE N. 234 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 246 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 260 (Z.D. 7)
VIA DELLE FORZE ARMATE N. 3 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 326 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 328 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 333 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 376 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 395 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 407 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 41 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 410 ANG. VIA CERIANI N. 6; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 43 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 7 ; (Z.D. 7)
VIA DELLE FORZE ARMATE N. 73 ; (Z.D. 7)
VIA DELLE FORZE ARMATE NUM.393A; (Z.D. 7)
VIA DELLE PRIMULE N. 1 ; (Z.D. 6)
VIA DELLE STELLINE N. 1 ; (Z.D. 7)
VIA DERNA N. 1 ; (Z.D. 2)
VIA DERNA N. 13 ; (Z.D. 2)
VIA DERNA N. 9 ; (Z.D. 2)
VIA DESIDERIO DA SETTIGNANO N. 3 ; (Z.D. 8)
VIA DESIDERIO N. 28 ; (Z.D. 3)
VIA DEZZA GIUSEPPE N. 24 ; (Z.D. 7)
VIA DIOTTI BENEDETTO N. 59 ; (Z.D. 7)
VIA DISCIPLINI N. 12 ; (Z.D. 1)
VIA DOGANA N. 3 (Z.D. 1)
VIA DOGANA N. 3 ; (Z.D. 1)
VIA DOLCI CARLO N. 16 ; (Z.D. 7)
VIA DOLCI CARLO N. 38 ; (Z.D. 7)
VIA DOLOMITI N. 11 ; (Z.D. 2)
VIA DOMENICHINO N. 2 ; (Z.D. 7)
VIA DOMENICHINO N. 3 ; (Z.D. 7)
VIA DOMOKOS N. 4 ; (Z.D. 7)
VIA DON BOSCO N. 16 ; (Z.D. 4)
VIA DON BOSCO N. 19 (Z.D. 4)
VIA DON BOSCO N. 27 (Z.D. 4)
VIA DON BOSCO N. 27 ; (Z.D. 4)
VIA DON RODRIGO N. 2 ; (Z.D. 5)
VIA DONATELLO N. 2 ; (Z.D. 3)
VIA DONATELLO N. 22 ; (Z.D. 3)
VIA DONATELLO N. 27 ; (Z.D. 3)
VIA DONATELLO N. 32 ; (Z.D. 3)
VIA DONATELLO N. 37 ; (Z.D. 3)
VIA DONIZETTI GAETANO N. 2 ; (Z.D. 1)
VIA DONIZETTI GAETANO NUM.001A; (Z.D. 1)
VIA DRAGO MARIA N. 1 (Z.D. 8)
VIA DUE GIUGNO NUM.006; (Z.D. 7)
VIA DUGNANI ANTONIO N. 1 ; (Z.D. 1)
VIA DURAZZO N. 5 ; (Z.D. 3)
VIA DURER ALBERTO N. 4 PRIMO PIANO; (Z.D. 7)
VIA DURINI N. 2 ; (Z.D. 1)
VIA EDOLO N. 27 ; (Z.D. 2)
VIA EDOLO N. 28 (Z.D. 2)
VIA EDOLO N. 3 ; (Z.D. 2)
VIA EDOLO N. 42 (Z.D. 2)
VIA EDOLO N. 42 ; (Z.D. 2)
VIA EDOLO N. 44 ; (Z.D. 2)
VIA EDOLO NUM.002; (Z.D. 2)
VIA EGADI N. 12 SEMINTERRATO; (Z.D. 7)
VIA ELBA N. 8 ; (Z.D. 7)
VIA EMANUELE FILIBERTO N. 13 ; (Z.D. 8)
VIA EMANUELE FILIBERTO N. 4 ; (Z.D. 8)
VIA EMO ANGELO N. 19 (Z.D. 2)
VIA EMO ANGELO N. 2 ; (Z.D. 2)
VIA ESTERLE CARLO N. 29 ; (Z.D. 2)
VIA EUSTACHI BARTOLOMEO N. 20 ; (Z.D. 3)
VIA EUSTACHI BARTOLOMEO N. 21 ; (Z.D. 3)
VIA EUSTACHI BARTOLOMEO N. 24 ; (Z.D. 3)
VIA EUSTACHI BARTOLOMEO N. 32 ; (Z.D. 3)
VIA EUSTACHI BARTOLOMEO N. 38 ; (Z.D. 3)
VIA EUSTACHI BARTOLOMEO N. 8 ; (Z.D. 3)
VIA F.LLI ANTONA TRAVERSI N. 20 ; (Z.D. 8)
VIA F.LLI ANTONA TRAVERSI N. 20 CON INGR. IN VIA DE ROBERTO; (Z.D. 8)
VIA F.LLI ANTONA TRAVERSI N. 23 ; (Z.D. 8)
VIA F.LLI BEOLCHI N. 15 ; (Z.D. 8)
VIA F.LLI BRONZETTI N. 14 ; (Z.D. 4)
VIA F.LLI BRONZETTI N. 16 ; (Z.D. 4)
VIA F.LLI BRONZETTI N. 25 INT. 1Ø PIANO; (Z.D. 4)
VIA F.LLI BRONZETTI N. 26 ; (Z.D. 4)
VIA F.LLI BRONZETTI N. 8 ; (Z.D. 4)
VIA F.LLI CAMPI N. 2 ; (Z.D. 1)
VIA F.LLI FRASCHINI N. 2 ; (Z.D. 5)
VIA F.LLI GABBA INTERNO ALBERGO NUM.007B; (Z.D. 1)
VIA F.LLI INDUNO N. 17 ; (Z.D. 8)
VIA F.LLI INDUNO N. 28 ; (Z.D. 8)
VIA F.LLI LUMIERE N. 2 ; (Z.D. 2)
VIA F.LLI RUFFINI N. 11 ; (Z.D. 1)
VIA F.LLI RUFFINI N. 9 ; (Z.D. 1)
VIA F.LLI ZANZOTTERA N. 8 ; (Z.D. 7)
VIA F.LLI ZOIA N. 220 ; (Z.D. 7)
VIA F.LLI ZOIA N. 43 INGR.AL PUBBLICO VIA MARX; (Z.D. 7)
VIA FAA' DI BRUNO EMILIO N. 10 (Z.D. 4)
VIA FAA' DI BRUNO EMILIO N. 14 ; (Z.D. 4)
VIA FAA' DI BRUNO EMILIO N. 2 ; (Z.D. 4)
VIA FAA' DI BRUNO EMILIO N. 5 ; (Z.D. 4)
VIA FABRIANO N. 2 ; (Z.D. 9)
VIA FACCHINETTI CIPRIANO N. 2 ; (Z.D. 4)
VIA FACCIOLI CESARE N. 2 ; (Z.D. 7)
VIA FALCK ENRICO NUM.033C; (Z.D. 8)
VIA FALCONE N. 5 ; (Z.D. 1)
VIA FALCONE N. 7 ; (Z.D. 1)
VIA FANFULLA DA LODI N. 2 (Z.D. 2)
VIA FARA GUSTAVO N. 14 ; (Z.D. 2)
VIA FARA GUSTAVO N. 30 ; (Z.D. 2)
VIA FARA GUSTAVO N. 31 ; (Z.D. 9)
VIA FARA GUSTAVO N. 5 ; (Z.D. 9)
VIA FARA GUSTAVO N. 9 ; (Z.D. 9)
VIA FARINI CARLO N. 35 ; (Z.D. 9)
VIA FARINI CARLO N. 39 ; (Z.D. 9)
VIA FARINI CARLO N. 40 (Z.D. 9)
VIA FARINI CARLO N. 42 (Z.D. 9)
VIA FARINI CARLO N. 44 ; (Z.D. 9)
VIA FARINI CARLO N. 55 ; (Z.D. 9)
VIA FARINI CARLO N. 55 VIA CARLO FARINI  55 (Z.D. 9)
VIA FARINI CARLO N. 6 ; (Z.D. 9)
VIA FARINI CARLO N. 61 ; (Z.D. 9)
VIA FARINI CARLO N. 68 (Z.D. 9)
VIA FARINI CARLO N. 70 ; (Z.D. 9)
VIA FARINI CARLO N. 70 INTERNO; (Z.D. 9)
VIA FARINI CARLO N. 8 ; (Z.D. 9)
VIA FARINI CARLO N. 80 ; (Z.D. 9)
VIA FARINI CARLO N. 93 ; (Z.D. 9)
VIA FARNETI RODOLFO N. 3 ; (Z.D. 3)
VIA FARUFFINI FEDERICO N. 11 (Z.D. 7)
VIA FARUFFINI FEDERICO N. 11 ; (Z.D. 7)
VIA FARUFFINI FEDERICO N. 15 ; (Z.D. 7)
VIA FARUFFINI FEDERICO N. 7 ; (Z.D. 7)
VIA FATEBENEFRATELLI N. 15 ; (Z.D. 1)
VIA FATEBENEFRATELLI N. 30 (Z.D. 1)
VIA FAUCHE' GIOVANNI BATTISTA N. 1 PIANO RIALZATO; (Z.D. 8)
